"WOY";"pop";"Covid_caused";"Covid_attributed";"Covid_related";"AllCause_observed";"AllCause_fitted";"AllCause_PImin";"AllCause_PImax";"AllCause_diff";"AllCause_diff_min";"AllCause_diff_max";"AllCause_excess";"AllCause_excess_max";"AllCause_excess_min";"Circulatory_observed";"Circulatory_fitted";"Circulatory_PImin";"Circulatory_PImax";"Circulatory_diff";"Circulatory_diff_PImin";"Circulatory_diff_PImax";"Circulatory_excess";"Circulatory_excess_PImin";"Circulatory_excess_PImax";"Oncology_observed";"Oncology_fitted";"Oncology_PImin";"Oncology_PImax";"Oncology_diff";"Oncology_diff_PImin";"Oncology_diff_PImax";"Oncology_excess";"Oncology_excess_max";"Oncology_excess_min";"Diabetes_observed";"Diabetes_fitted";"Diabetes_PImin";"Diabetes_PImax";"Diabetes_diff";"Diabetes_diff_PImin";"Diabetes_diff_PImax";"Diabetes_excess";"Diabetes_excess_max";"Diabetes_excess_min";"CLRd_observed";"CLRd_fitted";"CLRd_PImin";"CLRd_PImax";"CLRd_diff";"CLRd_diff_PImin";"CLRd_diff_PImax";"CLRd_excess";"CLRd_excess_max";"CLRd_excess_min"
"35";"1899200";"1";"0";"1";"467";"434";"391";"478";"33";"-11";"76";"33";"76";"0";"220";"195";"167";"224";"25";"-4";"53";"25";"0";"53";"128";"109";"88";"131";"19";"-3";"40";"19";"40";"0";"10";"10";"4";"18";"0";"-8";"6";"0";"6";"0";"2";"4";"1";"9";"-2";"-7";"1";"0";"1";"0"
"36";"1899040";"1";"0";"1";"472";"438";"395";"481";"34";"-9";"77";"34";"77";"0";"209";"198";"170";"229";"11";"-20";"39";"11";"0";"39";"109";"109";"88";"132";"0";"-23";"21";"0";"21";"0";"18";"10";"5";"18";"8";"0";"13";"8";"13";"0";"6";"4";"1";"9";"2";"-3";"5";"2";"5";"0"
"37";"1898880";"0";"0";"0";"506";"445";"402";"488";"61";"18";"104";"61";"104";"18";"247";"203";"174";"233";"44";"14";"73";"44";"14";"73";"110";"110";"88";"132";"0";"-22";"22";"0";"22";"0";"14";"10";"4";"18";"4";"-4";"10";"4";"10";"0";"7";"4";"1";"9";"3";"-2";"6";"3";"6";"0"
"38";"1898720";"1";"0";"1";"468";"453";"410";"498";"15";"-30";"58";"15";"58";"0";"224";"209";"179";"240";"15";"-16";"45";"15";"0";"45";"109";"110";"89";"132";"-1";"-23";"20";"0";"20";"0";"11";"11";"5";"18";"0";"-7";"6";"0";"6";"0";"1";"4";"1";"9";"-3";"-8";"0";"0";"0";"0"
"39";"1898560";"0";"1";"1";"545";"462";"417";"507";"83";"38";"128";"83";"128";"38";"273";"214";"185";"246";"59";"27";"88";"59";"27";"88";"119";"110";"89";"132";"9";"-13";"30";"9";"30";"0";"10";"11";"4";"18";"-1";"-8";"6";"0";"6";"0";"4";"4";"1";"9";"0";"-5";"3";"0";"3";"0"
"40";"1898400";"2";"0";"2";"516";"468";"423";"514";"48";"2";"93";"48";"93";"2";"220";"219";"189";"251";"1";"-31";"31";"1";"0";"31";"138";"110";"89";"132";"28";"6";"49";"28";"49";"6";"12";"11";"5";"18";"1";"-6";"7";"1";"7";"0";"4";"4";"1";"9";"0";"-5";"3";"0";"3";"0"
"41";"1898075";"1";"0";"1";"514";"471";"426";"517";"43";"-3";"88";"43";"88";"0";"216";"222";"192";"254";"-6";"-38";"24";"0";"0";"24";"116";"110";"89";"133";"6";"-17";"27";"6";"27";"0";"17";"11";"5";"18";"6";"-1";"12";"6";"12";"0";"11";"4";"1";"9";"7";"2";"10";"7";"10";"2"
"42";"1897750";"6";"0";"6";"561";"472";"428";"517";"89";"44";"133";"89";"133";"44";"249";"224";"192";"255";"25";"-6";"57";"25";"0";"57";"125";"111";"90";"133";"14";"-8";"35";"14";"35";"0";"18";"11";"5";"18";"7";"0";"13";"7";"13";"0";"2";"5";"1";"9";"-3";"-7";"1";"0";"1";"0"
"43";"1897425";"9";"6";"15";"565";"471";"427";"517";"94";"48";"138";"94";"138";"48";"266";"224";"194";"255";"42";"11";"72";"42";"11";"72";"136";"111";"90";"133";"25";"3";"46";"25";"46";"3";"13";"11";"5";"18";"2";"-5";"8";"2";"8";"0";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
"44";"1897100";"13";"8";"21";"546";"471";"427";"516";"75";"30";"119";"75";"119";"30";"249";"224";"194";"255";"25";"-6";"55";"25";"0";"55";"119";"111";"91";"133";"8";"-14";"28";"8";"28";"0";"12";"11";"5";"18";"1";"-6";"7";"1";"7";"0";"5";"5";"1";"10";"0";"-5";"4";"0";"4";"0"
"45";"1896825";"9";"6";"15";"560";"471";"426";"516";"89";"44";"134";"89";"134";"44";"269";"224";"194";"255";"45";"14";"75";"45";"14";"75";"110";"112";"91";"134";"-2";"-24";"19";"0";"19";"0";"20";"11";"5";"19";"9";"1";"15";"9";"15";"1";"4";"5";"1";"10";"-1";"-6";"3";"0";"3";"0"
"46";"1896550";"28";"11";"39";"570";"473";"430";"518";"97";"52";"140";"97";"140";"52";"262";"224";"194";"256";"38";"6";"68";"38";"6";"68";"118";"112";"91";"134";"6";"-16";"27";"6";"27";"0";"18";"11";"5";"18";"7";"0";"13";"7";"13";"0";"5";"5";"1";"10";"0";"-5";"4";"0";"4";"0"
"47";"1896275";"40";"12";"52";"600";"477";"433";"523";"123";"77";"167";"123";"167";"77";"277";"226";"195";"257";"51";"20";"82";"51";"20";"82";"105";"112";"91";"134";"-7";"-29";"14";"0";"14";"0";"19";"11";"5";"19";"8";"0";"14";"8";"14";"0";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"48";"1896000";"48";"20";"68";"626";"483";"436";"530";"143";"96";"190";"143";"190";"96";"293";"228";"197";"261";"65";"32";"96";"65";"32";"96";"124";"112";"91";"135";"12";"-11";"33";"12";"33";"0";"19";"11";"5";"19";"8";"0";"14";"8";"14";"0";"8";"5";"1";"10";"3";"-2";"7";"3";"7";"0"
"49";"1895725";"79";"28";"107";"670";"491";"444";"537";"179";"133";"226";"179";"226";"133";"300";"232";"201";"265";"68";"35";"99";"68";"35";"99";"118";"113";"91";"135";"5";"-17";"27";"5";"27";"0";"14";"11";"5";"19";"3";"-5";"9";"3";"9";"0";"7";"5";"1";"9";"2";"-2";"6";"2";"6";"0"
"50";"1895450";"112";"41";"153";"738";"500";"454";"549";"238";"189";"284";"238";"284";"189";"324";"237";"206";"270";"87";"54";"118";"87";"54";"118";"111";"113";"92";"135";"-2";"-24";"19";"0";"19";"0";"18";"12";"5";"19";"6";"-1";"13";"6";"13";"0";"3";"5";"1";"9";"-2";"-6";"2";"0";"2";"0"
"51";"1895175";"139";"35";"174";"735";"510";"463";"558";"225";"177";"272";"225";"272";"177";"293";"243";"212";"276";"50";"17";"81";"50";"17";"81";"118";"113";"92";"136";"5";"-18";"26";"5";"26";"0";"23";"12";"5";"19";"11";"4";"18";"11";"18";"4";"2";"5";"1";"10";"-3";"-8";"1";"0";"1";"0"
"52";"1894900";"158";"42";"200";"794";"519";"471";"570";"275";"224";"323";"275";"323";"224";"356";"250";"217";"285";"106";"71";"139";"106";"71";"139";"98";"113";"92";"135";"-15";"-37";"6";"0";"6";"0";"13";"12";"5";"19";"1";"-6";"8";"1";"8";"0";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
